customer_id,customer_name,email,gender,age,membership_tier,loyalty_points,preferred_language,customer_segment,is_prime_user,home_city,home_state,country,total_order_count,gross_revenue,total_discount_amount,lifetime_value,average_order_value,total_units_purchased,product_categories_purchased,distinct_products_purchased,first_order_timestamp,last_order_timestamp,days_since_last_order,repeat_purchase_signal,customer_value_segment,web_event_count,session_count,purchase_intent_event_count,customer_conversion_rate_pct,avg_engagement_score,avg_purchase_probability,avg_cart_abandonment_probability
13,Xiti Gokhale,misrayashica@example.net,,,Unknown,0,,Unknown,False,Malda,Andhra Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,17,17,4,23.53,0.5252,0.4362,0.5400
130,Charles Dugal,chandranbumb@example.com,,,Unknown,0,,Unknown,False,Anantapur,Tripura,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,7,7,0,0.00,0.7233,0.4491,0.4594
131,Oeshi Mahajan,yauvanicomar@example.com,,,Unknown,0,,Unknown,False,Khandwa,Meghalaya,India,1,151137.40,0.00,151137.40,151137.40,6,2,2,2026-05-04 15:05:53,2026-05-04 15:05:53,31,False,High Value,15,15,5,33.33,0.6868,0.5272,0.4990
132,Darika Bath,meghabhakta@example.org,,,Unknown,0,,Unknown,False,Bhubaneswar,Jharkhand,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,12,12,6,50.00,0.4346,0.6745,0.4438
133,Aadhya Mann,jagdish07@example.net,,,Unknown,0,,Unknown,False,Barasat,Gujarat,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,13,13,4,30.77,0.5534,0.5001,0.4517
134,Victor Tella,ekbal60@example.com,,,Unknown,0,,Unknown,False,Akola,Chhattisgarh,India,6,440668.68,0.00,440668.68,73444.78,35,5,6,2026-02-28 00:07:50,2026-05-16 14:44:50,19,True,High Value,16,16,6,37.50,0.4693,0.3754,0.6270
135,Pushti Ravel,hmann@example.com,,,Unknown,0,,Unknown,False,Jaunpur,Assam,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,14,14,1,7.14,0.5454,0.5581,0.4154
136,Janaki Chakrabarti,pcherian@example.com,,,Unknown,0,,Unknown,False,Anantapur,Goa,India,5,478465.90,0.00,478465.90,95693.18,28,4,3,2026-02-25 11:13:38,2026-04-18 14:31:09,47,True,High Value,11,11,6,54.55,0.4403,0.4052,0.5842
137,Dayita Nori,gauriganguly@example.org,,,Unknown,0,,Unknown,False,Loni,Assam,India,11,1833888.52,0.00,1833888.52,166717.14,61,6,16,2026-03-08 21:17:31,2026-05-02 20:06:55,33,True,High Value,23,23,13,56.52,0.5884,0.4579,0.5011
138,Ikshita Panchal,warinderchauhan@example.org,,,Unknown,0,,Unknown,False,Bettiah,Mizoram,India,6,1574986.13,0.00,1574986.13,262497.69,35,6,6,2026-04-08 08:07:33,2026-05-08 00:22:45,27,True,High Value,25,25,10,40.00,0.5443,0.4776,0.4930
139,Faqid Goel,wshetty@example.net,,,Unknown,0,,Unknown,False,Davanagere,Goa,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,12,12,5,41.67,0.4712,0.4984,0.4047
14,Aadi Naik,hbahl@example.com,,,Unknown,0,,Unknown,False,Jamnagar,Kerala,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,16,16,3,18.75,0.4951,0.4456,0.4174
140,Diya Dora,ebir@example.com,,,Unknown,0,,Unknown,False,Buxar,Rajasthan,India,2,47881.64,0.00,47881.64,23940.82,20,4,3,2026-04-10 03:38:27,2026-04-10 03:38:27,55,True,High Value,25,25,8,32.00,0.5740,0.4436,0.4418
141,Indira Tripathi,mukherjeetriya@example.com,,,Unknown,0,,Unknown,False,Panipat,Odisha,India,2,423607.30,0.00,423607.30,211803.65,23,3,2,2026-04-04 11:51:13,2026-04-04 11:51:13,61,True,High Value,15,15,2,13.33,0.5175,0.4807,0.5313
142,Faraj Chana,lshere@example.net,,,Unknown,0,,Unknown,False,Howrah,Kerala,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,15,15,6,40.00,0.4658,0.4986,0.5101
143,Ekanta Soni,davidseshadri@example.org,,,Unknown,0,,Unknown,False,Hospet,Uttar Pradesh,India,16,1379043.94,0.00,1379043.94,86190.25,125,7,19,2026-02-10 07:34:14,2026-05-07 17:23:47,28,True,High Value,23,23,9,39.13,0.5250,0.5244,0.5006
144,Balveer Kota,hsarna@example.net,,,Unknown,0,,Unknown,False,Guwahati,Mizoram,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,20,20,10,50.00,0.5306,0.6138,0.5781
145,Lila Rege,charles51@example.com,,,Unknown,0,,Unknown,False,Bharatpur,Kerala,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,12,12,4,33.33,0.5000,0.4172,0.4800
146,Bhanumati Krishnan,gauribumb@example.net,,,Unknown,0,,Unknown,False,Proddatur,Sikkim,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,16,16,3,18.75,0.5521,0.5143,0.5625
147,Kai Chad,krisha52@example.net,,,Unknown,0,,Unknown,False,Etawah,Jharkhand,India,2,156547.91,0.00,156547.91,78273.96,8,1,0,2026-03-06 07:17:07,2026-05-10 18:08:28,25,True,High Value,10,10,3,30.00,0.5713,0.4544,0.5509
148,Andrew Patil,pranit35@example.com,,,Unknown,0,,Unknown,False,Bhusawal,Mizoram,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,22,22,5,22.73,0.4902,0.4935,0.5699
149,Faras Merchant,tripathibaljiwan@example.net,,,Unknown,0,,Unknown,False,Kamarhati,Chhattisgarh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,15,15,2,13.33,0.4110,0.5563,0.4861
15,Farhan Chada,wbiswas@example.net,,,Unknown,0,,Unknown,False,Mathura,Arunachal Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,12,12,5,41.67,0.5418,0.5188,0.5323
150,Mitesh Gaba,noahsarma@example.org,,,Unknown,0,,Unknown,False,Tadipatri,Chhattisgarh,India,7,352527.61,0.00,352527.61,50361.09,38,6,8,2026-04-12 05:08:49,2026-05-09 07:35:50,26,True,High Value,21,21,12,57.14,0.4137,0.5532,0.5110
151,Sachi Mane,ikaur@example.org,,,Unknown,0,,Unknown,False,Bharatpur,Sikkim,India,4,439437.84,0.00,439437.84,109859.46,28,3,2,2026-03-20 04:27:30,2026-05-11 17:20:42,24,True,High Value,16,16,4,25.00,0.5658,0.5117,0.5192
152,Jhalak Sastry,xmanda@example.com,,,Unknown,0,,Unknown,False,Nandyal,Uttarakhand,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,18,18,3,16.67,0.5294,0.4371,0.4951
153,Lakshit Krishna,srivastavakamya@example.net,,,Unknown,0,,Unknown,False,Nanded,Uttarakhand,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,10,10,3,30.00,0.4825,0.5836,0.4696
154,Bhavani Chacko,anjalisengupta@example.net,,,Unknown,0,,Unknown,False,Hazaribagh,West Bengal,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,16,16,5,31.25,0.4330,0.5238,0.3816
155,Shravya Palla,sachdevachatresh@example.com,,,Unknown,0,,Unknown,False,Junagadh,Assam,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,15,15,4,26.67,0.5030,0.4055,0.5600
156,Kavya Kapur,nagarhardik@example.net,,,Unknown,0,,Unknown,False,Noida,Madhya Pradesh,India,3,229629.87,0.00,229629.87,76543.29,13,6,5,2026-04-26 11:59:37,2026-05-10 01:51:01,25,True,High Value,8,8,3,37.50,0.3737,0.4876,0.4174
157,Bhavini Sodhi,upasnasen@example.net,,,Unknown,0,,Unknown,False,Ulhasnagar,Chhattisgarh,India,1,89282.18,0.00,89282.18,89282.18,2,1,1,2026-04-18 06:21:23,2026-04-18 06:21:23,47,False,High Value,18,18,3,16.67,0.5360,0.5472,0.4092
158,Tanveer Doctor,xchoudhry@example.com,,,Unknown,0,,Unknown,False,Vijayawada,Andhra Pradesh,India,3,207579.09,0.00,207579.09,69193.03,30,2,1,2026-02-28 12:15:06,2026-03-04 07:37:33,92,True,High Value,18,18,3,16.67,0.4659,0.6304,0.4380
159,William Saini,hbhatnagar@example.com,,,Unknown,0,,Unknown,False,Barasat,Bihar,India,1,5324.24,0.00,5324.24,5324.24,9,2,3,2026-05-03 15:33:46,2026-05-03 15:33:46,32,False,High Value,20,20,4,20.00,0.4765,0.4951,0.4807
16,Noah Lanka,ikakar@example.net,,,Unknown,0,,Unknown,False,Warangal,Sikkim,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,7,7,3,42.86,0.5007,0.4461,0.5208
160,Maanas Manne,nagarwal@example.com,,,Unknown,0,,Unknown,False,Kottayam,Odisha,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,10,10,1,10.00,0.5239,0.3344,0.5341
161,Frederick Viswanathan,ekansh88@example.net,,,Unknown,0,,Unknown,False,Aurangabad,Maharashtra,India,2,362318.20,0.00,362318.20,181159.10,12,1,0,2026-03-28 15:04:44,2026-03-28 15:04:44,68,True,High Value,18,18,5,27.78,0.5491,0.5263,0.3910
162,Caleb Ram,zehaan05@example.org,,,Unknown,0,,Unknown,False,Pali,West Bengal,India,2,165108.40,0.00,165108.40,82554.20,15,4,4,2026-05-11 22:34:31,2026-05-11 22:34:31,24,True,High Value,10,10,2,20.00,0.4891,0.5596,0.4809
163,Gaurangi Deol,pandeyhamsini@example.net,,,Unknown,0,,Unknown,False,New Delhi,Telangana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,20,20,6,30.00,0.5886,0.5586,0.5752
164,Qabil Deshmukh,shankarbalhaar@example.com,,,Unknown,0,,Unknown,False,Madhyamgram,Tamil Nadu,India,1,66083.45,0.00,66083.45,66083.45,0,0,0,2026-05-16 21:30:35,2026-05-16 21:30:35,19,False,High Value,18,18,6,33.33,0.4799,0.4166,0.4798
165,Benjamin Mutti,yutika68@example.com,,,Unknown,0,,Unknown,False,Varanasi,Uttar Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,14,14,2,14.29,0.4505,0.3317,0.5099
166,Bhavika Parikh,narulaanjali@example.org,,,Unknown,0,,Unknown,False,Vadodara,Tripura,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,14,14,4,28.57,0.4960,0.6040,0.6493
167,Libni Nori,watikatank@example.com,,,Unknown,0,,Unknown,False,Junagadh,Madhya Pradesh,India,1,132263.70,0.00,132263.70,132263.70,7,1,0,2026-03-29 20:40:21,2026-03-29 20:40:21,67,False,High Value,20,20,3,15.00,0.5399,0.4455,0.5034
168,Farhan Sani,chaayanagi@example.org,,,Unknown,0,,Unknown,False,Gwalior,Telangana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,18,18,4,22.22,0.4639,0.4183,0.4921
169,Damini Sehgal,sganesan@example.com,,,Unknown,0,,Unknown,False,Khammam,Sikkim,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,9,9,3,33.33,0.6045,0.5605,0.5845
17,Raksha Varughese,pdara@example.org,,,Unknown,0,,Unknown,False,Bijapur,Madhya Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,14,14,5,35.71,0.5371,0.5725,0.5306
170,Radhika Maharaj,bordenidra@example.com,,,Unknown,0,,Unknown,False,Amroha,Arunachal Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,13,13,4,30.77,0.5688,0.5090,0.5514
171,Bakhshi Date,keerjeevika@example.com,,,Unknown,0,,Unknown,False,Ludhiana,Chhattisgarh,India,4,173277.76,0.00,173277.76,43319.44,43,4,12,2026-05-01 17:32:25,2026-05-01 17:32:25,34,True,High Value,26,26,7,26.92,0.4357,0.4665,0.4861
172,Shivani Prabhakar,sachi19@example.org,,,Unknown,0,,Unknown,False,Tezpur,Arunachal Pradesh,India,6,932078.82,0.00,932078.82,155346.47,37,6,7,2026-03-22 09:29:17,2026-05-01 01:05:52,34,True,High Value,7,7,4,57.14,0.6971,0.6095,0.5566
173,Zaid Comar,grewalxalak@example.net,,,Unknown,0,,Unknown,False,Sikar,Karnataka,India,1,87847.38,0.00,87847.38,87847.38,9,2,3,2026-04-30 14:08:47,2026-04-30 14:08:47,35,False,High Value,16,16,5,31.25,0.4962,0.4553,0.4316
174,Abha Sehgal,bhavikaswaminathan@example.org,,,Unknown,0,,Unknown,False,Kishanganj,Bihar,India,10,2170974.56,0.00,2170974.56,217097.46,81,7,10,2026-02-11 07:24:31,2026-05-13 16:26:28,22,True,High Value,24,24,8,33.33,0.5571,0.4856,0.4515
175,Siya Gera,zchahal@example.net,,,Unknown,0,,Unknown,False,Bhavnagar,West Bengal,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,13,13,7,53.85,0.3785,0.6277,0.4906
176,Bina Mital,owenpathak@example.net,,,Unknown,0,,Unknown,False,Sri Ganganagar,Tamil Nadu,India,1,20893.71,0.00,20893.71,20893.71,4,1,0,2026-03-16 20:26:27,2026-03-16 20:26:27,80,False,High Value,11,11,4,36.36,0.3601,0.5073,0.4308
177,Warjas Tak,pateljyoti@example.com,,,Unknown,0,,Unknown,False,Bhilai,Gujarat,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,13,13,4,30.77,0.5045,0.4875,0.5335
178,Dayamai Rao,avora@example.com,,,Unknown,0,,Unknown,False,Pudukkottai,Assam,India,2,168154.85,0.00,168154.85,84077.43,12,2,1,2026-02-26 02:42:17,2026-05-02 06:13:52,33,True,High Value,15,15,4,26.67,0.4495,0.5528,0.6807
179,Shivani Shukla,kabir89@example.org,,,Unknown,0,,Unknown,False,Cuttack,Karnataka,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,12,12,3,25.00,0.5024,0.5126,0.5416
18,Thomas Amble,bhargavaveer@example.org,,,Unknown,0,,Unknown,False,Sonipat,Andhra Pradesh,India,2,304515.00,0.00,304515.00,152257.50,15,2,1,2026-03-23 17:22:51,2026-03-23 17:22:51,73,True,High Value,17,17,2,11.76,0.4732,0.3844,0.6595
180,Jeet Vasa,dakshagala@example.org,,,Unknown,0,,Unknown,False,Bhiwani,Mizoram,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,15,15,5,33.33,0.4189,0.3890,0.6203
181,Farhan Krishna,anvidass@example.net,,,Unknown,0,,Unknown,False,Kamarhati,Kerala,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,18,18,5,27.78,0.5355,0.4852,0.5836
182,Yadavi Ganguly,onveernazareth@example.net,,,Unknown,0,,Unknown,False,Srikakulam,Nagaland,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,14,14,5,35.71,0.5782,0.4887,0.5445
183,Alka Kade,fbalasubramanian@example.net,,,Unknown,0,,Unknown,False,Bhopal,Assam,India,3,462020.81,0.00,462020.81,154006.94,11,1,0,2026-02-06 12:13:37,2026-03-14 17:05:06,82,True,High Value,10,10,3,30.00,0.4204,0.4466,0.4650
184,Nidra Mishra,sbora@example.org,,,Unknown,0,,Unknown,False,Barasat,Meghalaya,India,2,362318.20,0.00,362318.20,181159.10,13,3,3,2026-05-05 01:06:41,2026-05-05 01:06:41,30,True,High Value,17,17,7,41.18,0.5030,0.5198,0.5191
185,Ucchal Jani,maanas55@example.net,,,Unknown,0,,Unknown,False,Gandhidham,Maharashtra,India,2,543656.60,0.00,543656.60,271828.30,17,3,6,2026-04-21 15:28:41,2026-04-21 15:28:41,44,True,High Value,14,14,6,42.86,0.5674,0.3637,0.4841
186,Yutika Cherian,wyatt71@example.com,,,Unknown,0,,Unknown,False,Silchar,Chhattisgarh,India,3,158806.83,0.00,158806.83,52935.61,21,1,0,2026-03-06 17:01:25,2026-03-06 17:01:25,90,True,High Value,10,10,6,60.00,0.2795,0.4564,0.4660
187,Chandresh Mannan,psahota@example.org,,,Unknown,0,,Unknown,False,Shahjahanpur,Chhattisgarh,India,3,15972.72,0.00,15972.72,5324.24,34,4,5,2026-03-31 00:14:58,2026-03-31 00:14:58,65,True,High Value,18,18,3,16.67,0.5085,0.3524,0.5533
188,Ranveer Dutta,dvarma@example.com,,,Unknown,0,,Unknown,False,Gangtok,Telangana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,16,16,1,6.25,0.3736,0.5441,0.6089
189,Maya Tiwari,nkhosla@example.net,,,Unknown,0,,Unknown,False,Mehsana,Andhra Pradesh,India,2,107415.42,0.00,107415.42,53707.71,15,3,6,2026-05-18 01:01:33,2026-05-18 01:01:33,17,True,High Value,15,15,2,13.33,0.4413,0.4887,0.5526
19,Arya Sunder,kevinsolanki@example.org,,,Unknown,0,,Unknown,False,Bathinda,Assam,India,5,301739.37,0.00,301739.37,60347.87,58,4,4,2026-03-13 00:15:05,2026-04-01 05:58:26,64,True,High Value,15,15,4,26.67,0.4534,0.5412,0.4692
190,Warda Singhal,abhiram16@example.org,,,Unknown,0,,Unknown,False,Nashik,Arunachal Pradesh,India,4,960250.09,0.00,960250.09,240062.52,27,6,7,2026-03-04 21:10:19,2026-05-02 17:22:33,33,True,High Value,19,19,8,42.11,0.4837,0.5756,0.6145
191,Jasmit Bath,kbehl@example.net,,,Unknown,0,,Unknown,False,Ambarnath,Tripura,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,13,13,2,15.38,0.4126,0.3847,0.4207
192,Ethan Raju,nmammen@example.net,,,Unknown,0,,Unknown,False,Mirzapur,Nagaland,India,6,101466.58,0.00,101466.58,16911.10,27,5,7,2026-04-08 05:00:44,2026-04-19 12:36:30,46,True,High Value,15,15,6,40.00,0.4791,0.5574,0.7153
193,Kashvi Nori,maanas39@example.net,,,Unknown,0,,Unknown,False,Warangal,Bihar,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,18,18,3,16.67,0.6388,0.5702,0.6995
